	mask_image	intensity_image	label	INTEGRATED_INTENSITY	MEAN	MEDIAN	MIN	MAX	RANGE	STANDARD_DEVIATION	STANDARD_ERROR	SKEWNESS	KURTOSIS	HYPERSKEWNESS	HYPERFLATNESS	MEAN_ABSOLUTE_DEVIATION	ENERGY	ROOT_MEAN_SQUARED	ENTROPY	MODE	UNIFORMITY	P01	P10	P25	P75	P90	P99	INTERQUARTILE_RANGE	ROBUST_MEAN_ABSOLUTE_DEVIATION
39	Segmentation0	Intensity0	40	11060321.0	43373.807843137256	46693.0	17742.0	65503.0	47761.0	10765.072033578188	674.1349602708069	-0.3555534787165848	-0.7118974684134929	-1.6118946721320389	7.372094390023532	9138.858654363683	509163478813.0	44684.66766975964	2.9118074684832886	41586.0	619.0	18959.9055	28309.121249999997	34667.30437500001	51085.14812500001	55831.39750000001	64655.242249999996	16417.84375	9097.333333333332
40	Segmentation0	Intensity0	41	22766153.0	32523.075714285715	33169.5	11648.0	50173.0	38525.0	7479.191959540131	282.68688475224354	-0.1502642250269739	-0.4468674007825806	-0.9538841727507683	9.554873900667731	6169.603032653058	779526198087.0	33370.778450764374	2.980599037641378	33685.0	3902.0	15500.5	22909.153846153844	26793.140625	38071.617647058825	41553.03125	48246.75	11278.477022058825	7705.0
41	Segmentation0	Intensity0	42	8928561.0	26030.790087463556	26483.0	10896.0	41679.0	30783.0	6993.682811348353	377.6233768835673	-0.08597995720031393	-0.9974093648989037	-0.3705829949566663	5.31171474214761	5968.736818842488	249145264123.0	26951.27144363641	2.997857009205123	27246.0	1419.0	11951.8569	16672.943	19912.853750000002	31905.3975	35147.8735	39150.17655	11992.543749999997	5863.428571428572
42	Segmentation0	Intensity0	43	10849022.0	34224.044164037856	34915.0	14571.0	50700.0	36129.0	9318.946457298309	523.4041784198504	-0.09179152188528596	-1.1510592062557694	-0.43442830289240647	4.292117381409183	8084.856233020538	398739721196.0	35466.23760821013	3.0914096631505434	27624.0	917.0	16759.2131	21640.241	25996.79625	42134.41625	46675.229400000004	50277.2907	16137.620000000003	6881.714285714285
43	Segmentation0	Intensity0	44	6614212.0	23964.536231884056	23125.0	9780.0	42162.0	32382.0	6770.441625622012	407.53269543395396	0.3051985674178133	-0.47903488056537613	1.9408461478453465	9.438894899025536	5578.082860743542	171112215066.0	24899.232793750718	2.926527099198305	10827.0	928.0	11036.421600000001	15705.906	19217.04	28820.616	33138.216	41268.2568	9603.576000000001	6168.0
44	Segmentation0	Intensity0	45	9253532.0	36720.36507936508	31744.0	7941.0	65519.0	57578.0	17607.493377239498	1109.1678258902975	0.4384540128172892	-1.2255844867519283	1.4654066494950813	3.8296033271700836	15533.38120433361	417609052894.0	40708.46080761832	2.9695856743714963	65515.0	1400.0	10105.9328	17806.030666666666	21841.974285714285	51124.5	65065.573249999994	65473.65732499999	29282.525714285715	10967.238095238097
45	Segmentation0	Intensity0	46	7224422.0	29130.733870967742	27508.0	15427.0	45325.0	29898.0	7416.496726492286	470.9480130805087	0.3755408487747593	-0.9610123809274667	1.599656928890655	5.528006957911023	6371.147372528617	224038807306.0	30056.31859566626	3.008639419818655	25342.0	832.0	16467.450399999998	20437.9048	23134.04	35259.34	39963.292	44057.3248	12125.299999999996	5694.857142857143
46	Segmentation0	Intensity0	47	6879504.0	26873.0625	27477.5	12752.0	44866.0	32114.0	7555.190224049202	472.1993890030751	0.12510187202945805	-0.6111106398819208	1.2282659135583536	7.765972992103367	6180.5595703125	199428970288.0	27910.919282379433	3.0059846629085283	27664.0	854.0	13323.6292	16220.312	20941.07	32234.493333333332	36323.676	44454.9408	11293.423333333332	6116.952380952381
47	Segmentation0	Intensity0	48	22403313.0	37907.46700507614	39101.0	11879.0	55487.0	43608.0	9347.89861975757	384.52116839378243	-0.5306372715406598	-0.3450223082907695	-3.338458541728151	10.650518339933853	7577.977067175098	900808941429.0	39041.15017282737	3.0721021531458983	26158.0	2477.0	14020.1528	24033.17257142857	32444.13636363636	44853.916	49269.225999999995	53401.66544	12409.779636363637	8721.600000000002
48	Segmentation0	Intensity0	49	10007213.0	29607.13905325444	29534.0	11351.0	49584.0	38233.0	7957.414208873763	432.8262729080634	0.0456062216254335	-0.388881041712704	0.3195611294532669	8.970645483047898	6302.141521655411	317623935407.0	30654.78405123433	2.9164871473783145	25370.0	1224.0	13025.6054	18787.3185	24388.453	34558.431	40427.1965	46835.047300000006	10169.977999999996	7282.476190476191
